date,SPX,QQQ,SEMIS,BOND,GOLD,OIL,USD,CASH
2015-05-21,177.14100646972656,101.81291198730469,25.741640090942383,82.74344635009766,115.69000244140625,15.378512382507324,20.926782608032227,73.46277618408203
2015-05-22,176.71783447265625,101.71163177490234,25.763931274414062,82.55683135986328,115.5999984741211,15.209421157836914,21.118928909301758,73.46277618408203
2015-05-26,174.8178253173828,100.54230499267578,25.558853149414062,83.070068359375,113.91000366210938,14.913517951965332,21.352842330932617,73.46277618408203
2015-05-27,176.4772491455078,102.16278839111328,26.512908935546875,83.02339935302734,113.88999938964844,14.710615158081055,21.36119270324707,73.46277618408203
2015-05-28,176.27809143066406,101.93260192871094,26.548572540283203,83.10118103027344,114.0199966430664,14.786703109741211,21.302715301513672,73.44673156738281
2015-05-29,175.18287658691406,101.3249282836914,26.664485931396484,83.14786529541016,114.0999984741211,14.972700119018555,21.26930046081543,73.44673156738281
2015-06-01,175.5397186279297,101.66558074951172,26.57086181640625,82.781005859375,114.0,14.938880920410156,21.394609451293945,73.44673156738281
2015-06-02,175.36544799804688,101.34335327148438,26.191917419433594,82.2046127319336,114.45999908447266,15.116423606872559,21.068801879882812,73.46277618408203
2015-06-03,175.8300323486328,101.64717864990234,26.009132385253906,81.50357055664062,113.63999938964844,14.92197322845459,20.926782608032227,73.46277618408203
2015-06-04,174.34490966796875,100.873779296875,25.701515197753906,81.90081024169922,112.83999633789062,14.786703109741211,20.951847076416016,73.44673156738281
2015-06-05,174.0461883544922,100.63439178466797,25.625722885131836,81.3088607788086,112.23999786376953,14.854338645935059,21.13563346862793,73.44673156738281
2015-06-08,172.9759063720703,99.61243438720703,25.16653060913086,81.42567443847656,112.56999969482422,14.86279296875,20.893369674682617,73.43067169189453
2015-06-09,172.95101928710938,99.4466552734375,25.193281173706055,81.16088104248047,112.81999969482422,15.099515914916992,20.86830711364746,73.43067169189453
2015-06-10,175.0251922607422,100.80934143066406,25.576683044433594,80.84930419921875,113.77999877929688,15.158696174621582,20.751352310180664,73.44673156738281
