date,BIL,BTAL,CAOS,CTA,DBMF,FLSP,FMF,GDE,GLD,ILS,KMLM,NTSX,QAI,QQQ,RSBT,RSST,SMH,SPY,WTMF
2023-08-23,80.45244598388672,17.168516159057617,81.44000244140625,21.212923049926758,23.73177146911621,21.451080322265625,42.759517669677734,21.59528350830078,177.88999938964844,,29.219619750976562,35.242313385009766,27.902667999267578,362.775634765625,16.662025451660156,,150.71563720703125,426.8144836425781,31.130599975585938
2023-08-24,80.47879028320312,17.292734146118164,81.29000091552734,21.42171287536621,23.7833251953125,21.341684341430664,42.8387336730957,21.498497009277344,177.85000610351562,,29.23849868774414,34.81805419921875,27.763757705688477,355.02099609375,16.690452575683594,,146.8187713623047,420.89923095703125,30.90753936767578
2023-08-25,80.49630737304688,17.28386116027832,81.37899780273438,21.505224227905273,23.877840042114258,21.419689178466797,43.041175842285156,21.365955352783203,177.6199951171875,,29.653900146484375,35.05910873413086,27.837841033935547,357.77301025390625,16.7709903717041,,147.08511352539062,423.8664855957031,31.1395263671875
2023-08-28,80.51385498046875,17.212881088256836,81.50800323486328,21.379955291748047,23.84347152709961,21.49388885498047,43.16440200805664,21.536861419677734,178.1300048828125,,29.644460678100586,35.1844596862793,27.91192626953125,360.46600341796875,16.78046417236328,,148.90037536621094,426.5543518066406,31.14844512939453
2023-08-29,80.50508117675781,16.89346694946289,81.66000366210938,21.296438217163086,23.71458625793457,21.432058334350586,43.22602081298828,22.066150665283203,179.8699951171875,,29.59725570678711,35.76298522949219,28.078622817993164,368.3385314941406,16.74730110168457,,152.7183380126953,432.72015380859375,31.389358520507812
2023-08-30,80.52263641357422,16.80474090576172,81.65899658203125,21.129413604736328,23.834877014160156,21.670825958251953,43.03237533569336,22.146373748779297,180.32000732421875,,29.531169891357422,35.91726303100586,28.10640525817871,370.39263916015625,16.752038955688477,,153.49771118164062,434.50244140625,31.273357391357422
2023-08-31,80.57526397705078,16.680522918701172,81.66000366210938,21.1878719329834,23.73177146911621,21.548110961914062,42.96196365356445,22.113237380981445,180.02000427246094,,29.389554977416992,35.91726303100586,27.995275497436523,371.5032653808594,16.64781379699707,,154.11923217773438,433.8666076660156,31.300127029418945
2023-09-01,80.58846282958984,16.64503288269043,81.64099884033203,21.405847549438477,23.817691802978516,21.627065658569336,43.02357864379883,22.217872619628906,180.11000061035156,,29.663341522216797,35.89798355102539,28.078622817993164,371.110107421875,16.73782730102539,,154.109375,434.6758117675781,31.335817337036133
2023-09-05,80.60608673095703,16.6184139251709,81.69999694824219,21.714017868041992,24.041091918945312,21.612794876098633,43.278831481933594,21.945817947387695,178.63999938964844,,30.163711547851562,35.67620849609375,27.91192626953125,371.58184814453125,16.87521743774414,,154.47439575195312,432.79718017578125,31.35366439819336
2023-09-06,80.60608673095703,16.6184139251709,81.66400146484375,21.82258415222168,24.066871643066406,21.498645782470703,43.27003479003906,21.677249908447266,177.8300018310547,,30.17314910888672,35.40623474121094,28.06009864807129,368.3089904785156,16.87521743774414,19.668846130371094,152.67884826660156,429.8877258300781,31.344741821289062
