date,SPX,BOND,GOLD,OIL,USD,CASH
2008-04-29,99.55331420898438,57.11622619628906,85.80999755859375,31.627857208251953,18.89505958557129,72.9590835571289
2008-04-30,98.96633911132812,57.29615783691406,86.6500015258789,31.569599151611328,18.762287139892578,72.87962341308594
2008-05-01,101.01354217529297,57.289703369140625,83.98999786376953,30.8371639251709,18.919952392578125,72.93367767333984
2008-05-02,101.29267883300781,56.82559585571289,84.58000183105469,31.619539260864258,19.019533157348633,72.88592529296875
2008-05-05,100.80599212646484,56.90936279296875,86.2699966430664,32.277061462402344,18.92824935913086,72.90190124511719
2008-05-06,101.67925262451172,56.72891616821289,86.62999725341797,32.701541900634766,18.861862182617188,72.87000274658203
2008-05-07,99.8682632446289,56.95453643798828,85.81999969482422,32.759803771972656,18.986339569091797,72.91779327392578
2008-05-08,99.61055755615234,57.321903228759766,87.23999786376953,33.29248046875,18.986339569091797,72.88592529296875
2008-05-09,99.42445373535156,57.38636016845703,87.41999816894531,33.808509826660156,18.861862182617188,72.91779327392578
2008-05-12,100.5411376953125,57.289703369140625,86.98999786376953,33.23421859741211,18.83696937561035,72.91779327392578
2008-05-13,100.555419921875,56.81272888183594,85.38999938964844,33.41733169555664,18.919952392578125,72.88592529296875
2008-05-14,100.76302337646484,56.79338455200195,85.19999694824219,32.8763313293457,18.94485092163086,72.88592529296875
2008-05-15,102.02281951904297,57.10919952392578,87.0,33.25086975097656,18.92824935913086,72.88592529296875
2008-05-16,102.11588287353516,57.01258087158203,89.0999984741211,33.73360824584961,18.745689392089844,72.90190124511719
2008-05-19,102.39506530761719,57.141441345214844,89.38999938964844,33.783546447753906,18.84526824951172,72.90190124511719
2008-05-20,101.564697265625,57.315460205078125,90.9000015258789,34.2496452331543,18.654407501220703,72.87000274658203
2008-05-21,99.84680938720703,57.18011474609375,91.95999908447266,35.248416900634766,18.521635055541992,72.87000274658203
2008-05-22,99.86112213134766,56.80622863769531,90.9800033569336,34.74070739746094,18.6378116607666,72.91779327392578
2008-05-23,98.52253723144531,57.05762481689453,91.2300033569336,34.80729293823242,18.529937744140625,72.91779327392578
2008-05-27,99.25263977050781,56.7805061340332,89.36000061035156,34.2496452331543,18.6378116607666,72.91779327392578
2008-05-28,99.71077728271484,56.355098724365234,89.13999938964844,34.466041564941406,18.720794677734375,72.9495620727539
2008-05-29,100.21184539794922,56.09076690673828,86.51000213623047,33.525535583496094,18.87016487121582,72.91779327392578
2008-05-30,100.46234893798828,56.27768325805664,87.44999694824219,33.7502555847168,18.84526824951172,72.9495620727539
2008-06-02,99.42445373535156,56.61211395263672,87.95999908447266,34.199703216552734,18.820371627807617,73.00850677490234
